month,freq,excess,industry
5,7,0.018141171,家用轻工
5,7,0.071174956,专业零售
5,7,0.036893318,综合Ⅱ
5,7,0.048151416,水泥制造Ⅱ
5,7,0.046384112,高低压设备
5,7,0.142761254,地面兵装Ⅱ
5,6,0.088942294,煤炭开采Ⅱ
5,6,0.019991634,化学纤维
5,6,0.048189855,塑料Ⅱ
5,6,0.030520917,钢铁Ⅱ
5,6,0.047911685,稀有金属
5,6,0.038456363,运输设备Ⅱ
5,6,0.028654399,半导体
5,6,0.040752067,光学光电子
5,6,0.044913083,汽车零部件Ⅱ
5,6,0.042890713,计算机设备Ⅱ
5,6,0.0196543,白色家电
5,6,0.036816802,视听器材
5,6,0.042188857,中药Ⅱ
5,6,0.023766175,银行Ⅱ
5,6,0.024010193,一般零售
5,6,0.046537794,餐饮Ⅱ
5,6,0.044293074,景点
5,6,0.038441025,其他建材Ⅱ
5,6,0.034266348,电源设备
5,6,0.120563981,航空装备Ⅱ
5,5,0.037911159,渔业
5,5,0.065050632,石油开采Ⅱ
5,5,0.017949327,化学制品
5,5,0.048982896,石油化工
5,5,0.02332541,橡胶
5,5,0.024791266,工业金属
5,5,0.017253548,专用设备
5,5,0.058407889,其他电子Ⅱ
5,5,0.051032827,通信设备
5,5,0.034821288,饮料制造
5,5,0.016122192,服装家纺
5,5,0.06958532,化学制药
5,5,0.057961967,医药商业Ⅱ
5,5,0.029789499,水务Ⅱ
5,5,0.02961842,港口Ⅱ
5,5,0.018984655,计算机应用
5,5,0.038795815,通信运营Ⅱ
5,5,0.107023529,互联网传媒
5,5,0.023826651,文化传媒
5,4,0.052148576,农业综合Ⅱ
5,4,0.046305192,电子制造Ⅱ
5,4,0.038578866,包装印刷Ⅱ
5,4,0.013771371,造纸Ⅱ
5,4,0.032027231,电力
5,4,0.041825554,公交Ⅱ
5,4,0.010557307,机场Ⅱ
5,4,0.055458992,铁路运输Ⅱ
5,4,0.017698589,物流Ⅱ
5,4,0.03938683,园区开发Ⅱ
5,4,0.068159532,多元金融Ⅱ
5,4,0.11029704,证券Ⅱ
5,4,0.044442716,贸易Ⅱ
5,4,0.062385083,旅游综合Ⅱ
5,4,0.040049997,玻璃制造Ⅱ
5,4,0.087172407,电气自动化设备
5,4,0.059734972,其他交运设备Ⅱ
5,3,0.080559086,医疗器械Ⅱ
5,3,0.031203753,环保工程及服务Ⅱ
5,3,0.03672904,航运Ⅱ
5,3,0.118528091,房地产开发Ⅱ
5,2,0.016760284,航空运输Ⅱ
5,2,0.001900523,高速公路Ⅱ
6,11,0.039306764,饮料制造
6,9,0.035552891,专业零售
6,8,0.02154781,化学制品
6,8,0.024784259,电力
6,8,0.044074507,机场Ⅱ
6,8,0.034328181,铁路运输Ⅱ
6,8,0.022830175,一般零售
6,8,0.026097094,航空装备Ⅱ
6,7,0.069398021,石油开采Ⅱ
6,7,0.031039416,钢铁Ⅱ
6,7,0.058496194,运输设备Ⅱ
6,7,0.033899849,白色家电
6,7,0.048797124,港口Ⅱ
6,7,0.029704089,房地产开发Ⅱ
6,7,0.073646381,银行Ⅱ
6,7,0.083377196,证券Ⅱ
6,7,0.027127392,景点
6,7,0.04419128,旅游综合Ⅱ
6,7,0.030328888,电气自动化设备
6,6,0.037741588,渔业
6,6,0.039204106,畜禽养殖Ⅱ
6,6,0.04371163,煤炭开采Ⅱ
6,6,0.034378619,石油化工
6,6,0.04123768,专用设备
6,6,0.02994687,汽车整车
6,6,0.020908691,生物制品Ⅱ
6,6,0.019192224,环保工程及服务Ⅱ
6,6,0.035628034,水务Ⅱ
6,6,0.025767456,玻璃制造Ⅱ
6,6,0.059613621,电源设备
6,5,0.044236316,工业金属
6,5,0.031100909,通用机械
6,5,0.028087742,半导体
6,5,0.014167044,其他电子Ⅱ
6,5,0.036868489,光学光电子
6,5,0.045568253,电子制造Ⅱ
6,5,0.003966068,汽车零部件Ⅱ
6,5,0.032522614,视听器材
6,5,0.037592272,家用轻工
6,5,0.022932866,中药Ⅱ
6,5,0.058700229,航运Ⅱ
6,5,0.067267878,物流Ⅱ
6,5,0.091275992,多元金融Ⅱ
6,5,0.062600194,餐饮Ⅱ
6,5,0.056178039,通信运营Ⅱ
6,5,0.034070869,水泥制造Ⅱ
6,5,0.053491138,其他建材Ⅱ
6,5,0.042793813,电机Ⅱ
6,5,0.042505652,高低压设备
6,4,0.034484981,林业Ⅱ
6,4,0.051106328,饲料Ⅱ
6,4,0.053076413,种植业
6,4,0.021239305,其他采掘Ⅱ
6,4,0.038106763,化学纤维
6,4,0.02172252,化学原料
6,4,0.027277595,塑料Ⅱ
6,4,0.026298948,橡胶
6,4,0.040525755,稀有金属
6,4,0.015176106,仪器仪表Ⅱ
6,4,0.023086554,元件Ⅱ
6,4,0.023293244,通信设备
6,4,0.063291568,食品加工
6,4,0.021988229,服装家纺
6,4,0.032692856,医疗器械Ⅱ
6,4,0.078106416,医药商业Ⅱ
6,4,0.034281824,公交Ⅱ
6,4,0.079833383,航空运输Ⅱ
6,4,0.033725353,高速公路Ⅱ
6,4,0.028008437,贸易Ⅱ
6,4,0.023933783,计算机应用
6,4,0.062871194,地面兵装Ⅱ
6,4,0.053358831,文化传媒
6,3,0.011327456,农产品加工
6,3,0.02801796,农业综合Ⅱ
6,3,0.058097001,动物保健Ⅱ
6,3,0.011823239,金属非金属新材料
6,3,0.015151177,包装印刷Ⅱ
6,3,0.027340947,化学制药
6,3,0.0304866,园区开发Ⅱ
6,3,0.015912969,酒店Ⅱ
6,3,0.077449821,互联网传媒
6,3,0.016863568,其他交运设备Ⅱ
6,2,0.02829939,汽车服务Ⅱ
6,2,0.031624254,纺织制造
6,2,0.021673781,造纸Ⅱ
6,2,0.00942726,综合Ⅱ
7,10,0.040152011,仪器仪表Ⅱ
7,10,0.036733755,景点
7,9,0.03625152,其他电子Ⅱ
7,9,0.037555465,汽车整车
7,9,0.031842459,饮料制造
7,9,0.047909891,包装印刷Ⅱ
7,8,0.044795146,饲料Ⅱ
7,8,0.038045232,化学纤维
7,8,0.05794635,钢铁Ⅱ
