trade_code,industry
002124.SZ,饲料Ⅱ
002125.SZ,化学原料
002126.SZ,汽车零部件Ⅱ
002127.SZ,化学纤维
002128.SZ,煤炭开采Ⅱ
002129.SZ,半导体
002130.SZ,金属非金属新材料
002131.SZ,通用机械
002132.SZ,金属制品Ⅱ
002133.SZ,房地产开发Ⅱ
002134.SZ,元件Ⅱ
002135.SZ,专业工程
002136.SZ,化学制品
002137.SZ,电子制造Ⅱ
002138.SZ,元件Ⅱ
002139.SZ,电子制造Ⅱ
002140.SZ,专业工程
002141.SZ,其他电子Ⅱ
002142.SZ,银行Ⅱ
002143.SZ,畜禽养殖Ⅱ
002144.SZ,纺织制造
002145.SZ,化学制品
002146.SZ,房地产开发Ⅱ
002147.SZ,通用机械
002148.SZ,互联网传媒
002149.SZ,金属非金属新材料
002150.SZ,金属制品Ⅱ
002151.SZ,航天装备Ⅱ
002152.SZ,计算机设备Ⅱ
002153.SZ,计算机应用
002154.SZ,服装家纺
002155.SZ,黄金Ⅱ
002156.SZ,半导体
002157.SZ,饲料Ⅱ
002158.SZ,通用机械
002159.SZ,旅游综合Ⅱ
002160.SZ,工业金属
002161.SZ,其他电子Ⅱ
002162.SZ,其他建材Ⅱ
002163.SZ,其他建材Ⅱ
002164.SZ,通用机械
002165.SZ,化学制品
002166.SZ,中药Ⅱ
002167.SZ,稀有金属
002168.SZ,高低压设备
002169.SZ,电气自动化设备
002170.SZ,化学制品
002171.SZ,工业金属
002172.SZ,化学纤维
002173.SZ,渔业
002174.SZ,互联网传媒
002175.SZ,仪器仪表Ⅱ
002176.SZ,电机Ⅱ
002177.SZ,计算机设备Ⅱ
002178.SZ,专业工程
002179.SZ,电子制造Ⅱ
002180.SZ,电气自动化设备
002181.SZ,文化传媒
002182.SZ,金属非金属新材料
002183.SZ,物流Ⅱ
002184.SZ,电气自动化设备
002185.SZ,半导体
002186.SZ,餐饮Ⅱ
002187.SZ,一般零售
002188.SZ,电子制造Ⅱ
002189.SZ,光学光电子
002190.SZ,航空装备Ⅱ
002191.SZ,包装印刷Ⅱ
002192.SZ,石油化工
002193.SZ,纺织制造
002194.SZ,通信设备
002195.SZ,计算机应用
002196.SZ,电机Ⅱ
002197.SZ,计算机设备Ⅱ
002198.SZ,中药Ⅱ
002199.SZ,元件Ⅱ
002200.SZ,园林工程Ⅱ
002201.SZ,化学制品
002202.SZ,电源设备
002203.SZ,工业金属
002204.SZ,通用机械
002205.SZ,其他建材Ⅱ
002206.SZ,化学纤维
002207.SZ,采掘服务Ⅱ
002208.SZ,房地产开发Ⅱ
002209.SZ,专用设备
002210.SZ,物流Ⅱ
002211.SZ,化学制品
002212.SZ,高低压设备
002213.SZ,汽车零部件Ⅱ
002214.SZ,其他电子Ⅱ
002215.SZ,化学制品
002216.SZ,食品加工
002217.SZ,化学制品
002218.SZ,电源设备
002219.SZ,医疗服务Ⅱ
002220.SZ,农产品加工
002221.SZ,石油化工
002222.SZ,元件Ⅱ
002223.SZ,医疗器械Ⅱ
002224.SZ,橡胶
002225.SZ,其他建材Ⅱ
002226.SZ,化学制品
002227.SZ,电源设备
002228.SZ,包装印刷Ⅱ
002229.SZ,包装印刷Ⅱ
002230.SZ,计算机应用
002231.SZ,通信设备
002232.SZ,计算机应用
002233.SZ,水泥制造Ⅱ
002234.SZ,畜禽养殖Ⅱ
002235.SZ,造纸Ⅱ
002236.SZ,计算机设备Ⅱ
002237.SZ,黄金Ⅱ
002238.SZ,文化传媒
002239.SZ,服装家纺
002240.SZ,家用轻工
002241.SZ,电子制造Ⅱ
002242.SZ,白色家电
002243.SZ,包装印刷Ⅱ
002244.SZ,房地产开发Ⅱ
002245.SZ,物流Ⅱ
002246.SZ,化学制品
002247.SZ,家用轻工
002248.SZ,通用机械
002249.SZ,电机Ⅱ
002250.SZ,化学制品
002251.SZ,一般零售
002252.SZ,生物制品Ⅱ
002253.SZ,计算机应用
002254.SZ,化学纤维
002255.SZ,电源设备
002256.SZ,化学制品
002258.SZ,化学制品
002259.SZ,家用轻工
002260.SZ,白色家电
002261.SZ,互联网传媒
002262.SZ,化学制药
002263.SZ,包装印刷Ⅱ
