"datetime","cap","return","cash","stockcap","IFcap","lowestcap","return2","net value"
"2013-03-28",112214146.885796,-0.00180947703338119,27664834.885796,84549312,-75204000,111160231.885796,NA,3.74047156285987
"2013-03-29",112883590.885796,0.00596577186191438,28354834.885796,84528756,-74514000,111949090.885796,NA,3.76278636285987
"2013-04-01",112923766.885796,0.000355906466872336,28372834.885796,84550932,-74496000,111432402.885796,0.0117610091314029,3.76412556285987
"2013-04-02",111205528.561246,-0.0152159139916732,21474429.561246,89731099,-81939660,110504371.561246,NA,3.70685095204153
"2013-04-03",112036291.561246,0.00747051887391081,22363869.561246,89672422,-81050220,111274060.561246,NA,3.73454305204153
"2013-04-08",111974019.561246,-0.000555819896680299,22847829.561246,89126190,-80566260,110440623.561246,NA,3.7324673187082
"2013-04-09",111568677.561246,-0.00361996471671067,22298469.561246,89270208,-81115620,110736920.561246,NA,3.7189559187082
"2013-04-10",111538025.561246,-0.000274736607711268,22285389.561246,89252636,-81128700,110216470.561246,NA,3.71793418537487
"2013-04-11",111184675.561246,-0.0031679779001107,22566609.561246,88618066,-80847480,110647779.561246,NA,3.70615585204153
"2013-04-12",110962080.561246,-0.00200202949620853,22913229.561246,88048851,-80500860,110210174.561246,NA,3.6987360187082
"2013-04-15",109884065.561246,-0.00971516570838793,23586849.561246,86297216,-79827240,109266107.561246,NA,3.66280218537487
"2013-04-16",109736170.561246,-0.00134591853008537,23299089.561246,86437081,-80115000,108119857.561246,NA,3.65787235204153
"2013-04-17",109702519.053246,-0.000306658304439544,23235535.053246,86466984,-77776440,108551864.053246,NA,3.6567506351082
"2013-04-18",109820426.253246,0.00107479026933532,23096537.253246,86723889,-78107160,108560050.253246,NA,3.6606808751082
"2013-04-19",109108315.253246,-0.00648432194533521,20584337.253246,88523978,-80619360,107149278.253246,NA,3.63694384177487
"2013-04-22",109265767.253246,0.00144307974726332,20692457.253246,88573310,-80511240,108291082.253246,NA,3.64219224177487
"2013-04-23",109196653.253246,-0.000632531137037651,23344577.253246,85852076,-77859120,108720341.253246,NA,3.63988844177487
"2013-04-24",109195248.253246,-1.28666947030176e-05,21939017.253246,87256231,-79264680,107448482.253246,NA,3.63984160844153
