"datetime","cap","return","cash","stockcap","IFcap","lowestcap","return2","net_value","position"
"2007-07-25",42149358.18949,-0.000342729946518849,4576358.18948998,37573000,-33192611.4,40874237.18949,NA,1.40497860631633,1
"2007-07-26",42308199.58949,0.00376853662363974,4204126.58948998,38104073,-33564843,41279789.58949,NA,1.41027331964967,1
"2007-07-27",42679684.18949,0.00878043981082777,4173254.18948998,38506430,-33595715.4,41477621.18949,NA,1.42265613964967,1
"2007-07-30",42817227.98949,0.00322269957268961,3368652.98948998,39448575,-34400316.6,41597173.98949,NA,1.427240932983,1
"2007-07-31",42957765.38949,0.00328226292543965,2976570.38948998,39981195,-34792399.2,41676287.38949,0.02124057439876,1.431925512983,1
"2007-08-01",42385626.26042,-0.013318642715293,9630623.26041998,32755003,-29604291.3,42079890.26042,NA,1.41285420868067,1
"2007-08-02",42074812.76042,-0.0073329929842334,8625189.76041998,33449623,-30609724.8,41068300.76042,NA,1.40249375868067,1
"2007-08-03",41724931.46042,-0.0083156947600046,7506099.46041998,34218832,-31728815.1,40694670.46042,NA,1.39083104868067,1
"2007-08-06",41836737.96042,0.00267960895528496,6777424.96041998,35059313,-32457489.6,40766559.96042,NA,1.394557932014,1
"2007-08-07",41854567.26042,0.000426163722823558,6635540.26041998,35219027,-32599374.3,40809944.26042,NA,1.395152242014,1
"2007-08-08",41807809.26042,-0.00111715406610391,7025114.26041998,34782695,-32209800.3,40784778.26042,NA,1.393593642014,1
"2007-08-09",41436751.16042,-0.00887532990998618,6271641.16041998,35165110,-32963273.4,40579105.16042,NA,1.38122503868067,1
"2007-08-10",41084001.86042,-0.00851295746218972,6620801.86041998,34463200,-32614112.7,40130343.86042,NA,1.36946672868067,1
"2007-08-13",41032676.76042,-0.00124927216619197,6658689.76041998,34373987,-32576224.8,40123033.76042,NA,1.367755892014,1
"2007-08-14",41230022.36042,0.00480947419424416,6145495.36041998,35084527,-33089419.2,40274193.36042,NA,1.37433407868067,1
"2007-08-15",41471908.56042,0.00586674918304686,6123539.56041998,35348369,-33111375,40353206.56042,NA,1.382396952014,1
"2007-08-16",41626544.76042,0.0037286974573334,6653514.76041998,34973030,-32581399.8,40743408.76042,NA,1.387551492014,1
"2007-08-17",41949338.86042,0.00775452543221733,7311491.86041998,34637847,-31923422.7,41409140.86042,NA,1.39831129534733,1
"2007-08-20",41512943.26042,-0.0104029196133948,5525468.26041998,35987475,-33709446.3,40518034.26042,NA,1.38376477534733,1
"2007-08-21",41507824.66042,-0.000123301303111223,4923208.66041998,36584616,-34311705.9,40421973.66042,NA,1.38359415534733,1
"2007-08-22",41346179.36042,-0.0038943332087974,4378267.36041998,36967912,-34856647.2,40176550.36042,NA,1.37820597868067,1
"2007-08-23",41144292.56042,-0.00488284052173538,3796997.56041997,37347295,-35437917,40201140.56042,NA,1.37147641868067,1
"2007-08-24",40640057.66042,-0.0122552818051137,3233605.66041998,37406452,-36001308.9,39957904.66042,NA,1.35466858868067,1
"2007-08-27",40460342.26042,-0.00442212463135927,3057200.26041998,37403142,-36177714.3,39642364.26042,NA,1.34867807534733,1
"2007-08-28",40022521.56042,-0.0108209835987546,2997701.56041998,37024820,-36237213,39154895.56042,NA,1.334084052014,1
"2007-08-29",40151672.76042,0.00322696309389281,3549342.76041998,36602330,-35685571.8,39307419.76042,NA,1.338389092014,1
"2007-08-30",40689535.36042,0.0133957706621428,3070441.36041998,37619094,-36164473.2,39396672.36042,NA,1.35631784534733,1
"2007-08-31",40529896.86042,-0.00392333062016936,2686904.86041998,37842992,-36548009.7,39761105.86042,-0.0437820450876032,1.350996562014,1
"2007-09-03",40603891.70307,0.00182568544165895,7266551.70306997,33337340,-29263512.6,39479562.70307,NA,1.353463056769,1
"2007-09-04",40594267.10307,-0.000237036392235157,7584266.10306998,33010001,-28945798.2,39996026.10307,NA,1.353142236769,1
"2007-09-05",41207363.90307,0.0151030390188676,7568508.90306997,33638855,-28961555.4,39903292.90307,NA,1.373578796769,1
