"datetime","cap","return","cash","stockcap","IFcap","lowestcap","return2","beta","net_value","position"
"2007-02-28",37681914.38152,0.0113480231902912,3361590.38152001,34320324,-28244738.1,35372037.38152,0.0802631774276918,0.822974110034626,1.25606381271733,1
"2007-03-01",37226471.02132,-0.0120865239379493,6451700.02132001,30774771,-27456338.4,36529635.02132,NA,0.892170356036118,1.24088236737733,1
"2007-03-02",37614050.52132,0.0104113951542175,6061146.52132001,31552904,-27846891.9,36522453.52132,NA,0.882546085140056,1.253801684044,1
"2007-03-05",38381730.82132,0.0204094025865382,6428811.82132,31952919,-27479226.6,36872122.82132,NA,0.859991120060111,1.27939102737733,1
"2007-03-06",38281794.12132,-0.00260375699223259,5932786.12132,32349008,-27975252.3,37272928.12132,NA,0.864794750429441,1.276059804044,1
"2007-03-07",38566967.82132,0.00744932954542943,5165298.82132,33401669,-28742739.6,37472782.82132,NA,0.860518065728991,1.285565594044,1
"2007-03-08",39057636.42132,0.012722509124214,4741345.42132001,34316291,-29166693,37841594.42132,NA,0.849937220779483,1.301921214044,1
"2007-03-09",38767913.12132,-0.00741784005756829,4921576.12132,33846337,-28986462.3,38219542.12132,NA,0.856413569952932,1.29226377071067,1
"2007-03-12",38675223.22132,-0.0023908921718313,4868529.22132001,33806694,-29039509.2,37820708.22132,NA,0.858986956843517,1.28917410737733,1
"2007-03-13",38597499.52132,-0.00200965097357597,4602162.52132001,33995337,-29305875.9,37744315.52132,NA,0.862055754881912,1.28658331737733,1
"2007-03-14",38787256.72132,0.00491630811201071,5077375.72132001,33709881,-28830662.7,37765421.72132,NA,0.855258513075143,1.29290855737733,1
"2007-03-15",39207756.82132,0.0108411920704066,4542477.82132001,34665279,-29365560.6,37965589.82132,NA,0.847117387977751,1.30692522737733,1
"2007-03-16",39047189.82132,-0.00409528657127067,5001129.82132,34046060,-28906908.6,38545911.82132,NA,0.849052977055201,1.301572994044,1
"2007-03-19",38780404.12132,-0.00683239181156992,4388554.12132,34391850,-29519484.3,36875671.12132,NA,0.858327897452449,1.29268013737733,1
"2007-03-20",39116355.32132,0.00866291127212127,4240280.32132,34876075,-29667758.1,38097357.32132,NA,0.850662183172848,1.30387851071067,1
"2007-03-21",39264970.72132,0.00379931613718099,3909211.72132,35355759,-29998826.7,38041631.72132,NA,0.848484873426137,1.30883235737733,1
"2007-03-22",38914558.22132,-0.00892430310179082,3812364.22132,35102194,-30095674.2,38420827.22132,NA,0.857373023464003,1.29715194071067,1
"2007-03-23",38819081.82132,-0.00245348795833666,3757485.82132,35061596,-30150552.6,37699117.82132,NA,0.85993097975346,1.293969394044,1
"2007-03-26",38805488.02132,-0.000350183450051111,3227261.02132,35578227,-30680777.4,37888046.02132,NA,0.862347002283166,1.29351626737733,1
"2007-03-27",39105052.12132,0.00771963233229833,3005383.12132,36099669,-30902655.3,38132930.12132,NA,0.856037081669641,1.30350173737733,1
"2007-03-28",38394676.52132,-0.0181658267017806,2854134.52132001,35540542,-31053903.9,36969096.52132,NA,0.873759997807574,1.27982255071067,1
"2007-03-29",37794328.92132,-0.0156362197677753,3013352.92132001,34780976,-30894685.5,37449724.92132,NA,0.888263903232618,1.259810964044,1
"2007-03-30",38105939.02132,0.00824489040799481,3030236.02132,35075703,-30877802.4,37281310.02132,0.0236248018109564,0.880318846353557,1.27019796737733,1
"2007-04-02",37823586.78118,-0.00740966493391026,4887354.78118,32936232,-29926123.5,36941528.78118,NA,0.908607988309045,1.26078622603933,1
"2007-04-03",38166982.78118,0.00907888514081545,4488270.78118,33678712,-30325207.5,37231543.78118,NA,0.900426581040273,1.27223275937267,1
"2007-04-04",38336543.78118,0.00444260949240172,4239357.78118,34097186,-30574120.5,37457825.78118,NA,0.896675769666154,1.277884792706,1
"2007-04-05",38641927.78118,0.00796587198217691,3890505.78118,34751422,-30922972.5,37653362.78118,NA,0.8898332994834,1.28806425937267,1
"2007-04-06",39113704.28118,0.0122089276361044,3607394.28118,35506310,-31206084,37775785.28118,NA,0.878888400399816,1.303790142706,1
"2007-04-09",39198580.28118,0.00216998112451439,2912672.28118,36285908,-31900806,38219977.28118,NA,0.879151377443828,1.306619342706,1
"2007-04-10",38631003.28118,-0.0144795295117488,2457014.28118,36173989,-32356464,37333673.28118,NA,0.894467679525197,1.28770010937267,1
