"datetime","cap","return","cash","stockcap","IFcap","lowestcap","return2","net value"
"2008-02-18",47143641.71044,0.00396492494100031,6627569.71044001,40516072,-35359142.4,46288922.71044,NA,1.57145472368133
"2008-02-19",47422218.51044,0.00590910650710952,5837290.51044001,41584928,-36149421.6,45986514.51044,NA,1.58074061701467
"2008-02-20",47467051.71044,0.000945404947474637,6643949.71044001,40823102,-35342762.4,47145694.71044,NA,1.58223505701467
"2008-02-21",47799829.11044,0.00701070296149875,6879296.11044001,40920533,-35107416,46587783.11044,NA,1.59332763701467
"2008-02-22",47984736.91044,0.00386837784655625,8130576.91044001,39854160,-33856135.2,47215259.91044,NA,1.599491230348
"2008-02-25",47634549.51044,-0.00729789142438353,9444274.51044,38190275,-32542437.6,47230125.51044,NA,1.58781831701467
"2008-02-26",47585197.51044,-0.00103605472303636,9474874.51044,38110323,-32511837.6,46369956.51044,NA,1.586173250348
"2008-02-27",47780342.51044,0.0041009601768951,8580382.51044001,39199960,-33406329.6,46433790.51044,NA,1.59267808368133
"2008-02-28",47959333.91044,0.00374613053393036,8707908.91044001,39251425,-33278803.2,47331645.91044,NA,1.59864446368133
"2008-02-29",48018519.11044,0.00123407051712854,8329952.11044001,39688567,-33656760,47149341.11044,NA,1.60061730368133
"2008-03-03",48325614.31044,0.00639534924627094,7493355.31044001,40832259,-34493356.8,46420246.31044,0.0492557258445903,1.610853810348
"2008-03-04",48290102.99849,-0.000734834154862085,10410359.99849,37879743,-33632265.6,47877888.99849,NA,1.60967009994967
"2008-03-05",48713211.79849,0.00876181191854619,10715812.79849,37997399,-33326812.8,47273384.79849,NA,1.62377372661633
"2008-03-06",48627072.59849,-0.00176829235477893,10310409.59849,38316663,-33732216,47831424.59849,NA,1.62090241994967
"2008-03-07",48464758.59849,-0.00333793484424227,10766493.59849,37698265,-33276132,47955346.59849,NA,1.615491953283
"2008-03-10",48527220.79849,0.00128881690131721,12135184.79849,36392036,-31907440.8,48110316.79849,NA,1.61757402661633
"2008-03-11",49067129.79849,0.0111258998787913,12066100.79849,37001029,-31976524.8,47373128.79849,NA,1.635570993283
"2008-03-12",49172337.99849,0.00214416862025701,13013159.99849,36159178,-31029465.6,48854061.99849,NA,1.639077933283
"2008-03-13",48912153.59849,-0.00529127575768307,13810113.59849,35102040,-30232512,47974932.59849,NA,1.63040511994967
"2008-03-14",48780209.39849,-0.00269757494391065,14105954.39849,34674255,-29936671.2,48076869.39849,NA,1.62600697994967
"2008-03-17",47890703.79849,-0.0182349688730021,15492616.79849,32398087,-28550008.8,47601796.79849,NA,1.596356793283
"2008-03-18",47052916.99849,-0.0174937249518229,16942199.99849,30110717,-27100425.6,46451837.99849,NA,1.56843056661633
"2008-03-19",47223302.39849,0.00362114425351079,16042826.39849,31180476,-27999799.2,45885807.39849,NA,1.57411007994967
"2008-03-20",47376367.19849,0.00324129809280116,15229435.19849,32146932,-28813190.4,44178098.19849,NA,1.57921223994967
"2008-03-21",47417249.59849,0.000862928130996643,14970249.59849,32447000,-29072376,46497131.59849,NA,1.58057498661633
"2008-03-24",47659655.39849,0.00511218600936569,16271570.39849,31388085,-27771055.2,47458467.39849,NA,1.58865517994967
"2008-03-25",47987764.79849,0.00688442661317268,15921052.79849,32066712,-28121572.8,46014560.79849,NA,1.59959215994967
"2008-03-26",47863957.59849,-0.00257997430219725,15859161.59849,32004796,-28183464,47387352.59849,NA,1.595465253283
"2008-03-27",47635654.59849,-0.0047698312353347,17050401.59849,30585253,-26992224,47158501.59849,NA,1.587855153283
"2008-03-28",47821828.39849,0.00390828679839128,15831902.39849,31989926,-28210723.2,45287434.39849,NA,1.59406094661633
"2008-03-31",47473368.59849,-0.00728662645636091,16750809.59849,30722559,-27291816,46951655.59849,NA,1.58244561994967
"2008-04-01",46666022.59849,-0.0170062926612226,18246069.59849,28419953,-25796556,46490067.59849,-0.033631744377327,1.55553408661633
"2008-04-02",45395556.59958,-0.0272246471451181,9433829.59958001,35961727,-32996186.1,44555245.59958,NA,1.513185219986
"2008-04-03",45841434.29958,0.00982205602043718,8478524.29958001,37362910,-33951491.4,43357721.29958,NA,1.528047809986
"2008-04-07",46579949.09958,0.0161102027299953,6663871.09958,39916078,-35766144.6,43092454.09958,NA,1.552664969986
"2008-04-08",46986330.99958,0.00872439553618287,6243166.99958,40743164,-36186848.7,45745529.99958,NA,1.56621103331933
"2008-04-09",46965622.19958,-0.000440740946556994,8130453.19958001,38835169,-34299562.5,46632783.19958,NA,1.565520739986
"2008-04-10",47334584.19958,0.00785600153303845,7511166.19958001,39823418,-34918849.5,45085771.19958,NA,1.57781947331933
"2008-04-11",47444672.29958,0.0023257434677324,7241345.29958001,40203327,-35188670.4,46715948.29958,NA,1.58148907665267
"2008-04-14",47645646.59958,0.00423597192812264,9542174.59958,38103472,-32887841.1,47081286.59958,NA,1.588188219986
"2008-04-15",48171995.99958,0.0110471666891943,9105334.99958001,39066661,-33324680.7,46146684.99958,NA,1.605733199986
"2008-04-16",48412935.89958,0.00500165905523398,9935666.89958001,38477269,-32494348.8,47767695.89958,NA,1.613764529986
"2008-04-17",47396500.69958,-0.0209951158944032,10934356.69958,36462144,-31495659,46732712.69958,NA,1.57988335665267
"2008-04-18",46631298.99958,-0.0161446876605972,11995774.99958,34635524,-30434240.7,46148290.99958,NA,1.55437663331933
"2008-04-21",47004253.49958,0.00799794361300887,12041763.49958,34962490,-30388252.2,46222700.49958,NA,1.566808449986
"2008-04-22",46332751.59958,-0.0142859815868793,11774639.59958,34558112,-30655376.1,44412044.59958,NA,1.54442505331933
