Code,Name,industry_sw,industry_swcode
000931.SZ,中关村,房地产,6.118E+15
000932.SZ,华菱钢铁,钢铁,6.104E+15
000933.SZ,神火股份,采掘,6.102E+15
000935.SZ,四川双马,建筑材料,6.10601E+15
000936.SZ,华西股份,化工,6.103E+15
000937.SZ,冀中能源,采掘,6.102E+15
000938.SZ,紫光股份,计算机,1.00001E+15
000939.SZ,凯迪电力,公用事业,6.116E+15
000948.SZ,南天信息,计算机,1.00001E+15
000949.SZ,新乡化纤,化工,6.103E+15
000950.SZ,建峰化工,化工,6.103E+15
000951.SZ,中国重汽,汽车,1.00001E+15
000952.SZ,广济药业,医药生物,6.115E+15
000953.SZ,河池化工,化工,6.103E+15
000955.SZ,欣龙控股,纺织服装,6.113E+15
000957.SZ,中通客车,汽车,1.00001E+15
000958.SZ,东方能源,公用事业,6.116E+15
000959.SZ,首钢股份,钢铁,6.104E+15
000960.SZ,锡业股份,有色金属,6.105E+15
000961.SZ,中南建设,房地产,6.118E+15
000962.SZ,东方钽业,有色金属,6.105E+15
000963.SZ,华东医药,医药生物,6.115E+15
000965.SZ,天保基建,房地产,6.118E+15
000966.SZ,长源电力,公用事业,6.116E+15
000967.SZ,上风高科,电气设备,6.10701E+15
000968.SZ,煤气化,采掘,6.102E+15
000969.SZ,安泰科技,有色金属,6.105E+15
000970.SZ,中科三环,有色金属,6.105E+15
000971.SZ,蓝鼎控股,纺织服装,6.113E+15
000972.SZ,新中基,农林牧渔,6.101E+15
000973.SZ,佛塑科技,化工,6.103E+15
000975.SZ,银泰资源,有色金属,6.105E+15
000976.SZ,春晖股份,化工,6.103E+15
000977.SZ,浪潮信息,计算机,1.00001E+15
000978.SZ,桂林旅游,休闲服务,6.121E+15
000979.SZ,中弘股份,房地产,6.118E+15
000980.SZ,金马股份,汽车,1.00001E+15
000981.SZ,银亿股份,房地产,6.118E+15
000982.SZ,中银绒业,纺织服装,6.113E+15
000983.SZ,西山煤电,采掘,6.102E+15
000985.SZ,大庆华科,化工,6.103E+15
000987.SZ,广州友谊,商业贸易,6.12E+15
000988.SZ,华工科技,电子,6.108E+15
000989.SZ,九芝堂,医药生物,6.115E+15
000990.SZ,诚志股份,医药生物,6.115E+15
000993.SZ,闽东电力,公用事业,6.116E+15
000995.SZ,皇台酒业,食品饮料,6.112E+15
000996.SZ,中国中期,非银金融,1.00001E+15
000997.SZ,新大陆,计算机,1.00001E+15
000998.SZ,隆平高科,农林牧渔,6.101E+15
000999.SZ,华润三九,医药生物,6.115E+15
001696.SZ,宗申动力,汽车,1.00001E+15
001896.SZ,豫能控股,公用事业,6.116E+15
002001.SZ,新和成,医药生物,6.115E+15
002002.SZ,鸿达兴业,化工,6.103E+15
002003.SZ,伟星股份,纺织服装,6.113E+15
002004.SZ,华邦颖泰,化工,6.103E+15
002005.SZ,德豪润达,电子,6.108E+15
002006.SZ,*ST精功,机械设备,6.107E+15
002007.SZ,华兰生物,医药生物,6.115E+15
002008.SZ,大族激光,电子,6.108E+15
002009.SZ,天奇股份,机械设备,6.107E+15
