datetime,trade_code,name,class,reason
2015-03-17,300362.SZ,天保重装,停牌一天,实施非公开发行股票
2015-03-17,300366.SZ,创意信息,停牌一天,重大资产重组
2015-03-17,300367.SZ,东方网力,停牌一天,重大事项
2015-03-17,300379.SZ,东方通,停牌一天,重大事项
2015-03-17,300387.SZ,富邦股份,停牌一天,重大事项
2015-03-17,300390.SZ,天华超净,停牌一天,重大资产重组
2015-03-17,300399.SZ,京天利,停牌一天,拟披露重大事项
2015-03-17,600035.SH,楚天高速,停牌一天,重大资产重组
2015-03-17,600057.SH,象屿股份,停牌一天,重要事项未公告
2015-03-17,600062.SH,华润双鹤,停牌一天,重要事项未公告
2015-03-17,600073.SH,上海梅林,停牌一天,重要事项未公告
2015-03-17,600076.SH,青鸟华光,停牌一天,拟筹划重大资产重组
2015-03-17,600083.SH,博信股份,停牌一天,重大资产重组
2015-03-17,600090.SH,啤酒花,停牌一天,重大资产重组
2015-03-17,600114.SH,东睦股份,停牌一天,重要事项未公告
2015-03-17,600126.SH,杭钢股份,停牌一天,重大资产重组
2015-03-17,600129.SH,太极集团,停牌一天,重大资产重组
2015-03-17,600155.SH,宝硕股份,停牌一天,重要事项未公告
2015-03-17,600157.SH,永泰能源,停牌一天,重大资产重组
2015-03-17,600179.SH,黑化股份,停牌一天,重大资产重组
2015-03-17,600189.SH,吉林森工,停牌一天,重大资产重组
2015-03-17,600191.SH,华资实业,停牌一天,重要事项未公告
2015-03-17,600209.SH,罗顿发展,停牌一天,重要事项未公告
2015-03-17,600217.SH,秦岭水泥,停牌一天,实施退市风险警示
2015-03-17,600232.SH,金鹰股份,停牌一天,重大资产重组
2015-03-17,600238.SH,海南椰岛,停牌一天,重要事项未公告
2015-03-17,600246.SH,万通地产,停牌一天,重大资产重组
2015-03-17,600250.SH,南纺股份,停牌一天,重大资产重组
2015-03-17,600258.SH,首旅酒店,今起停牌,重要事项未公告
2015-03-17,600293.SH,三峡新材,停牌一天,重要事项未公告
2015-03-17,600332.SH,白云山,停牌一天,未刊登股东大会决议公告
2015-03-17,600351.SH,亚宝药业,停牌一天,重要事项未公告
2015-03-17,600423.SH,柳化股份,停牌一天,重要事项未公告
2015-03-17,600438.SH,通威股份,停牌一天,重大资产重组
2015-03-17,600461.SH,洪城水业,停牌一天,重大资产重组
2015-03-17,600475.SH,华光股份,停牌一天,重大资产重组
2015-03-17,600477.SH,杭萧钢构,停牌一天,重要事项未公告
2015-03-17,600481.SH,双良节能,停牌一天,重大资产重组
2015-03-17,600483.SH,福能股份,今起停牌,重要事项未公告
2015-03-17,600503.SH,华丽家族,停牌一天,重要事项未公告
2015-03-17,600522.SH,中天科技,停牌一天,重要事项未公告
2015-03-17,600550.SH,*ST天威,停牌一天,退市风险警示
2015-03-17,600552.SH,方兴科技,停牌一天,重大资产重组
2015-03-17,600575.SH,皖江物流,停牌一天,重大资产重组
2015-03-17,600576.SH,万好万家,停牌一天,重要事项未公告
2015-03-17,600597.SH,光明乳业,停牌一天,重要事项未公告
2015-03-17,600599.SH,熊猫烟花,停牌一天,重要事项未公告
2015-03-17,600623.SH,双钱股份,停牌一天,重大资产重组
2015-03-17,600649.SH,城投控股,停牌一天,重大资产重组
2015-03-17,600654.SH,飞乐股份,停牌一天,重大资产重组
2015-03-17,600656.SH,博元投资,停牌一天,重大资产重组
2015-03-17,600666.SH,西南药业,停牌一天,重要事项未公告
2015-03-17,600667.SH,太极实业,停牌一天,重大资产重组
2015-03-17,600677.SH,航天通信,停牌一天,重大资产重组
2015-03-17,600679.SH,金山开发,停牌一天,重大资产重组
2015-03-17,600681.SH,万鸿集团,停牌一天,重要事项未公告
2015-03-17,600701.SH,工大高新,停牌一天,重大资产重组
2015-03-17,600714.SH,金瑞矿业,停牌一天,重大资产重组
2015-03-17,600725.SH,云维股份,停牌一天,重大资产重组
2015-03-17,600741.SH,华域汽车,停牌一天,重要事项未公告
2015-03-17,600745.SH,中茵股份,停牌一天,重大资产重组
2015-03-17,600747.SH,大连控股,停牌一天,重大资产重组
2015-03-17,600749.SH,西藏旅游,停牌一天,非公开发行股票
2015-03-17,600756.SH,浪潮软件,停牌一天,重大资产重组
2015-03-17,600759.SH,洲际油气,停牌一天,重大资产重组
2015-03-17,600777.SH,新潮实业,停牌一天,重大资产重组
2015-03-17,600797.SH,浙大网新,停牌一天,重大资产重组
2015-03-17,600804.SH,鹏博士,停牌一天,重要事项未公告
2015-03-17,600806.SH,昆明机床,停牌一天,重要事项未公告
2015-03-17,600817.SH,ST宏盛,停牌一天,重要事项未公告
2015-03-17,600827.SH,百联股份,停牌一天,重要事项未公告
2015-03-17,600858.SH,银座股份,停牌一天,重大资产重组
2015-03-17,600870.SH,厦华电子,停牌一天,重大资产重组
2015-03-17,600962.SH,国投中鲁,停牌一天,重大资产重组
2015-03-17,601608.SH,中信重工,停牌一天,重大资产重组
2015-03-17,601888.SH,中国国旅,今起停牌,重要事项未公告
2015-03-17,603003.SH,龙宇燃油,停牌一天,重大资产重组
2015-03-17,603010.SH,万盛股份,停牌一天,重要事项未公告
2015-03-17,900909.SH,双钱B股,停牌一天,重大资产重组
2015-03-17,900916.SH,金山B股,停牌一天,重大资产重组
2015-03-17,900923.SH,百联B股,停牌一天,重要事项未公告
2015-03-17,900935.SH,阳晨B股,停牌一天,重大资产重组
2015-03-17,900950.SH,新城B股,停牌一天,重大资产重组
